114.119.138.117 - - [27/Apr/2025:02:01:37 -0400] "GET /index.php/Detail/occurrences/114 HTTP/1.1" 499 0 "https://35.239.124.218/index.php/Detail/occurrences/114" "Mozilla/5.0 (Linux; Android 7.0;) AppleWebKit/537.36 (KHTML, like Gecko) Mobile Safari/537.36 (compatible; PetalBot;+https://webmaster.petalsearch.com/site/petalbot)"
88.218.193.254 - - [27/Apr/2025:03:39:10 -0400] "\x16\x03\x01\x00\xF4\x01\x00\x00\xF0\x03\x03bDR\xCF\x92\xCF.\xF0\xE4\xF2\xE0\x99IXr 25\xC2 \xE1\xC06/$,L\xB1\x0ESc\x97 \x86\xB7\xAB#\xDD\x1B\xEE\x96\xC3i\x16\xFE\x8AY_\xC9\xBD\xC4\xD7\xD4\xC1E\xCC4\xB3W\xBBq\xC2sjV\x00\x1A\xC0+\xC0/\xC0,\xC00\xCC\xA9\xCC\xA8\xC0\x09\xC0\x13\xC0" 400 150 "-" "-"
88.218.193.254 - - [27/Apr/2025:03:39:10 -0400] "GET / HTTP/1.1" 301 162 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:109.0) Gecko/20100101 Firefox/114.0"
154.81.156.35 - - [27/Apr/2025:03:44:24 -0400] "GET / HTTP/1.1" 301 162 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.85 Safari/537.36 Edg/90.0.818.46"
185.218.86.4 - - [27/Apr/2025:03:46:25 -0400] "GET / HTTP/1.1" 301 162 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.85 Safari/537.36 Edg/90.0.818.46"
2.42.206.111 - - [27/Apr/2025:03:48:59 -0400] "\x03\x00\x00/*\xE0\x00\x00\x00\x00\x00Cookie: mstshash=Administr" 400 150 "-" "-"
185.255.122.19 - - [27/Apr/2025:03:49:22 -0400] "GET / HTTP/1.1" 301 162 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.85 Safari/537.36 Edg/90.0.818.46"
154.81.156.54 - - [27/Apr/2025:03:58:20 -0400] "GET / HTTP/1.1" 301 162 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.85 Safari/537.36 Edg/90.0.818.46"
185.218.84.178 - - [27/Apr/2025:04:00:23 -0400] "GET / HTTP/1.1" 301 162 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.85 Safari/537.36 Edg/90.0.818.46"
45.148.10.97 - - [27/Apr/2025:04:07:59 -0400] "\x16\x03\x01\x00\xEE\x01\x00\x00\xEA\x03\x03N\xE3\xE0X\xE7TW\x90" 400 150 "-" "-"
45.148.10.97 - - [27/Apr/2025:04:07:59 -0400] "GET / HTTP/1.1" 400 150 "-" "-"
45.148.10.97 - - [27/Apr/2025:04:07:59 -0400] "GET / HTTP/1.1" 301 162 "-" "l9tcpid/v1.1.0"
45.148.10.97 - - [27/Apr/2025:04:07:59 -0400] "GET /.env.test HTTP/1.1" 301 162 "-" "l9explore/1.2.2"
45.148.10.97 - - [27/Apr/2025:04:08:00 -0400] "GET /.env.development.local HTTP/1.1" 301 162 "-" "l9explore/1.2.2"
45.148.10.97 - - [27/Apr/2025:04:08:00 -0400] "GET /api/.env HTTP/1.1" 301 162 "-" "l9explore/1.2.2"
45.148.10.97 - - [27/Apr/2025:04:08:00 -0400] "GET /configuration/.env HTTP/1.1" 301 162 "-" "l9explore/1.2.2"
45.148.10.97 - - [27/Apr/2025:04:08:01 -0400] "GET /app/.git/config HTTP/1.1" 301 162 "-" "l9explore/1.2.2"
45.148.10.97 - - [27/Apr/2025:04:08:01 -0400] "GET /www/.git/config HTTP/1.1" 301 162 "-" "l9explore/1.2.2"
45.148.10.97 - - [27/Apr/2025:04:08:01 -0400] "GET /backup/.git/config HTTP/1.1" 301 162 "-" "l9explore/1.2.2"
45.148.10.97 - - [27/Apr/2025:04:08:02 -0400] "GET /config/.git/config HTTP/1.1" 301 162 "-" "l9explore/1.2.2"
45.148.10.97 - - [27/Apr/2025:04:08:02 -0400] "GET /config.json HTTP/1.1" 301 162 "-" "l9explore/1.2.2"
45.148.10.97 - - [27/Apr/2025:04:08:03 -0400] "GET /.env.ci HTTP/1.1" 301 162 "-" "l9explore/1.2.2"
45.148.10.97 - - [27/Apr/2025:04:08:03 -0400] "GET /.env.secret HTTP/1.1" 301 162 "-" "l9explore/1.2.2"
45.148.10.97 - - [27/Apr/2025:04:08:03 -0400] "GET /cms/.git/config HTTP/1.1" 301 162 "-" "l9explore/1.2.2"
45.148.10.97 - - [27/Apr/2025:04:08:04 -0400] "GET /admin/.git/config HTTP/1.1" 301 162 "-" "l9explore/1.2.2"
45.148.10.97 - - [27/Apr/2025:04:08:05 -0400] "GET /project/.git/config HTTP/1.1" 301 162 "-" "l9explore/1.2.2"
45.148.10.97 - - [27/Apr/2025:04:08:06 -0400] "GET /server/.git/config HTTP/1.1" 301 162 "-" "l9explore/1.2.2"
45.148.10.97 - - [27/Apr/2025:04:08:06 -0400] "GET /static../.git/config HTTP/1.1" 301 162 "-" "l9explore/1.2.2"
45.148.10.97 - - [27/Apr/2025:04:08:06 -0400] "GET /.env.production HTTP/1.1" 301 162 "-" "l9explore/1.2.2"
45.148.10.97 - - [27/Apr/2025:04:08:07 -0400] "GET /.env.staging.local HTTP/1.1" 301 162 "-" "l9explore/1.2.2"
45.148.10.97 - - [27/Apr/2025:04:08:07 -0400] "GET /.env.backup HTTP/1.1" 301 162 "-" "l9explore/1.2.2"
45.148.10.97 - - [27/Apr/2025:04:08:08 -0400] "GET /public/.git/config HTTP/1.1" 301 162 "-" "l9explore/1.2.2"
45.148.10.97 - - [27/Apr/2025:04:08:08 -0400] "GET /src/.git/config HTTP/1.1" 301 162 "-" "l9explore/1.2.2"
45.148.10.97 - - [27/Apr/2025:04:08:09 -0400] "GET /settings/.env HTTP/1.1" 301 162 "-" "l9explore/1.2.2"
45.148.10.97 - - [27/Apr/2025:04:08:09 -0400] "GET /media../.git/config HTTP/1.1" 301 162 "-" "l9explore/1.2.2"
45.148.10.97 - - [27/Apr/2025:04:08:10 -0400] "GET /.env.preprod HTTP/1.1" 301 162 "-" "l9explore/1.2.2"
45.148.10.97 - - [27/Apr/2025:04:08:10 -0400] "GET /.env.config HTTP/1.1" 301 162 "-" "l9explore/1.2.2"
45.148.10.97 - - [27/Apr/2025:04:08:10 -0400] "GET /core/.git/config HTTP/1.1" 301 162 "-" "l9explore/1.2.2"
45.148.10.97 - - [27/Apr/2025:04:08:11 -0400] "GET /.env.prod HTTP/1.1" 301 162 "-" "l9explore/1.2.2"
45.148.10.97 - - [27/Apr/2025:04:08:12 -0400] "GET /build/.env HTTP/1.1" 301 162 "-" "l9explore/1.2.2"
45.148.10.97 - - [27/Apr/2025:04:08:12 -0400] "GET /assets../.git/config HTTP/1.1" 301 162 "-" "l9explore/1.2.2"
45.148.10.97 - - [27/Apr/2025:04:08:12 -0400] "GET /.env.stage HTTP/1.1" 301 162 "-" "l9explore/1.2.2"
45.148.10.97 - - [27/Apr/2025:04:08:13 -0400] "GET /.aws/credentials HTTP/1.1" 301 162 "-" "l9explore/1.2.2"
45.148.10.97 - - [27/Apr/2025:04:08:13 -0400] "GET /.env.dev HTTP/1.1" 301 162 "-" "l9explore/1.2.2"
45.148.10.97 - - [27/Apr/2025:04:08:14 -0400] "GET /.env.production.local HTTP/1.1" 301 162 "-" "l9explore/1.2.2"
45.148.10.97 - - [27/Apr/2025:04:08:15 -0400] "GET /.env.bak HTTP/1.1" 301 162 "-" "l9explore/1.2.2"
45.148.10.97 - - [27/Apr/2025:04:08:15 -0400] "GET /.git/config HTTP/1.1" 301 162 "-" "l9explore/1.2.2"
45.148.10.97 - - [27/Apr/2025:04:08:16 -0400] "GET /config/.env HTTP/1.1" 301 162 "-" "l9explore/1.2.2"
45.148.10.97 - - [27/Apr/2025:04:08:16 -0400] "GET /.env.testing HTTP/1.1" 301 162 "-" "l9explore/1.2.2"
45.148.10.97 - - [27/Apr/2025:04:08:17 -0400] "GET /.env.uat HTTP/1.1" 301 162 "-" "l9explore/1.2.2"
45.148.10.97 - - [27/Apr/2025:04:08:17 -0400] "GET /files/.git/config HTTP/1.1" 301 162 "-" "l9explore/1.2.2"
45.148.10.97 - - [27/Apr/2025:04:08:17 -0400] "GET /.env HTTP/1.1" 301 162 "-" "l9explore/1.2.2"
45.148.10.97 - - [27/Apr/2025:04:08:18 -0400] "GET /.env_sample HTTP/1.1" 301 162 "-" "l9explore/1.2.2"
45.148.10.97 - - [27/Apr/2025:04:08:18 -0400] "GET /.env.save HTTP/1.1" 301 162 "-" "l9explore/1.2.2"
45.148.10.97 - - [27/Apr/2025:04:08:18 -0400] "GET /.env.local HTTP/1.1" 301 162 "-" "l9explore/1.2.2"
45.148.10.97 - - [27/Apr/2025:04:08:19 -0400] "GET /prod/.env HTTP/1.1" 301 162 "-" "l9explore/1.2.2"
45.148.10.97 - - [27/Apr/2025:04:08:19 -0400] "GET /.env.template HTTP/1.1" 301 162 "-" "l9explore/1.2.2"
45.148.10.97 - - [27/Apr/2025:04:08:20 -0400] "GET /.env.default HTTP/1.1" 301 162 "-" "l9explore/1.2.2"
45.148.10.97 - - [27/Apr/2025:04:08:20 -0400] "GET /.env.live HTTP/1.1" 301 162 "-" "l9explore/1.2.2"
45.148.10.97 - - [27/Apr/2025:04:08:20 -0400] "GET /data/.git/config HTTP/1.1" 301 162 "-" "l9explore/1.2.2"
45.148.10.97 - - [27/Apr/2025:04:08:21 -0400] "GET /api/.git/config HTTP/1.1" 301 162 "-" "l9explore/1.2.2"
45.148.10.97 - - [27/Apr/2025:04:08:21 -0400] "GET /.env.dist HTTP/1.1" 301 162 "-" "l9explore/1.2.2"
45.148.10.97 - - [27/Apr/2025:04:08:22 -0400] "GET /.env.sandbox HTTP/1.1" 301 162 "-" "l9explore/1.2.2"
45.148.10.97 - - [27/Apr/2025:04:08:22 -0400] "GET /media/.git/config HTTP/1.1" 301 162 "-" "l9explore/1.2.2"
45.148.10.97 - - [27/Apr/2025:04:08:22 -0400] "GET /docker-compose.prod.yml HTTP/1.1" 301 162 "-" "l9explore/1.2.2"
45.148.10.97 - - [27/Apr/2025:04:08:23 -0400] "GET /.env.dev.local HTTP/1.1" 301 162 "-" "l9explore/1.2.2"
45.148.10.97 - - [27/Apr/2025:04:08:23 -0400] "GET /dev/.git/config HTTP/1.1" 301 162 "-" "l9explore/1.2.2"
154.81.156.54 - - [27/Apr/2025:04:23:29 -0400] "GET / HTTP/1.1" 301 162 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.85 Safari/537.36 Edg/90.0.818.46"
80.82.77.202 - - [27/Apr/2025:04:39:11 -0400] "GET /aaa9 HTTP/1.1" 404 276 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.77 Safari/537.36"
94.102.49.155 - - [27/Apr/2025:04:39:11 -0400] "GET / HTTP/1.1" 400 150 "-" "-"
80.82.77.202 - - [27/Apr/2025:04:39:11 -0400] "GET /aaa9 HTTP/1.1" 400 650 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.77 Safari/537.36"
80.82.77.202 - - [27/Apr/2025:04:39:11 -0400] "GET /aab9 HTTP/1.1" 404 276 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.77 Safari/537.36"
80.82.77.202 - - [27/Apr/2025:04:39:11 -0400] "GET /aab9 HTTP/1.1" 400 650 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.77 Safari/537.36"
80.82.77.202 - - [27/Apr/2025:04:39:13 -0400] "GET / HTTP/1.1" 499 0 "-" "fasthttp"
80.82.77.202 - - [27/Apr/2025:04:39:15 -0400] "GET / HTTP/1.1" 499 0 "-" "fasthttp"
80.82.77.202 - - [27/Apr/2025:04:39:17 -0400] "GET / HTTP/1.1" 499 0 "-" "fasthttp"
80.82.77.202 - - [27/Apr/2025:04:39:19 -0400] "GET / HTTP/1.1" 499 0 "-" "fasthttp"
80.82.77.202 - - [27/Apr/2025:04:39:22 -0400] "GET / HTTP/1.1" 499 0 "-" "fasthttp"
185.16.38.107 - - [27/Apr/2025:04:45:15 -0400] "GET / HTTP/1.1" 301 162 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.85 Safari/537.36 Edg/90.0.818.46"
92.255.57.58 - - [27/Apr/2025:04:47:29 -0400] "GET / HTTP/1.1" 301 162 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36"
92.255.57.58 - - [27/Apr/2025:04:47:44 -0400] "GET / HTTP/1.1" 499 0 "http://35.239.124.218:80/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36"
114.119.128.218 - - [27/Apr/2025:04:48:18 -0400] "GET /index.php/Detail/objects/89/view/pdf/export_format/_pdf_ca_objects_summary HTTP/1.1" 499 0 "https://35.239.124.218/index.php/Detail/objects/89" "Mozilla/5.0 (Linux; Android 7.0;) AppleWebKit/537.36 (KHTML, like Gecko) Mobile Safari/537.36 (compatible; PetalBot;+https://webmaster.petalsearch.com/site/petalbot)"
185.255.122.19 - - [27/Apr/2025:04:57:39 -0400] "GET / HTTP/1.1" 301 162 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.85 Safari/537.36 Edg/90.0.818.46"
50.46.245.127 - - [27/Apr/2025:05:00:43 -0400] "GET / HTTP/1.1" 301 162 "-" "Hello-World/1.0"
50.46.245.127 - - [27/Apr/2025:05:00:43 -0400] "\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00" 400 150 "-" "-"
92.255.57.58 - - [27/Apr/2025:05:04:56 -0400] "GET / HTTP/1.1" 301 162 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36"
92.255.57.58 - - [27/Apr/2025:05:05:11 -0400] "GET / HTTP/1.1" 499 0 "http://35.239.124.218:80" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36"
154.81.156.54 - - [27/Apr/2025:05:09:33 -0400] "GET / HTTP/1.1" 301 162 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.85 Safari/537.36 Edg/90.0.818.46"
47.128.125.49 - - [27/Apr/2025:05:30:44 -0400] "GET / HTTP/2.0" 499 0 "-" "Mozilla/5.0 (Linux; Android 5.0) AppleWebKit/537.36 (KHTML, like Gecko) Mobile Safari/537.36 (compatible; Bytespider; spider-feedback@bytedance.com)"
154.81.156.7 - - [27/Apr/2025:05:36:19 -0400] "GET / HTTP/1.1" 301 162 "-" "-"
185.255.122.19 - - [27/Apr/2025:05:44:43 -0400] "GET / HTTP/1.1" 301 162 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.85 Safari/537.36 Edg/90.0.818.46"
154.81.156.54 - - [27/Apr/2025:05:48:54 -0400] "GET / HTTP/1.1" 301 162 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.85 Safari/537.36 Edg/90.0.818.46"
193.143.1.119 - - [27/Apr/2025:05:56:37 -0400] "GET / HTTP/1.1" 499 0 "-" "Mozilla/5.0 (Windows NT 5.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.96 Safari/537.36"
